-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
0.13,0.13,2.26,1.34,0.05
6.03,6.03,7.73,6.33,3.04
19.67,19.67,24.42,25.91,20.61
25.89,25.89,28.36,27.67,22.07
26.15,26.15,36.25,35.31,31.40
33.35,33.35,35.57,37.42,28.61
32.50,32.50,39.30,38.19,31.13
34.82,34.82,39.56,42.89,31.97
37.31,37.31,43.39,46.18,35.46
38.48,38.48,40.47,43.05,33.61
39.87,39.87,42.00,45.32,32.44
39.48,39.48,45.30,51.19,34.47
42.81,42.81,43.55,50.18,36.25
43.24,43.24,43.09,50.16,35.32
43.87,43.87,41.44,52.11,36.04
45.61,45.61,43.07,54.41,37.01
46.81,46.81,35.94,53.38,37.29
47.80,47.80,37.62,54.28,38.86
45.25,45.25,35.77,55.24,37.13
45.87,45.87,35.70,57.35,40.70
46.31,46.31,36.61,53.98,39.64
47.73,47.73,35.94,54.56,38.60
47.45,47.45,36.43,57.61,40.11
46.24,46.24,31.76,55.19,39.90
47.54,47.54,37.12,55.59,42.68
48.10,48.10,36.18,55.03,43.43
52.62,52.62,36.44,55.93,46.23
52.74,52.74,37.52,54.71,47.82
52.56,52.56,35.49,55.57,48.32
49.79,49.79,34.84,54.50,48.78
50.95,50.95,35.09,55.79,48.55
53.20,53.20,35.89,53.77,49.84
53.47,53.47,36.79,52.54,49.16
51.11,51.11,35.60,53.94,48.38
50.07,50.07,34.68,50.77,48.27
49.60,49.60,33.62,53.58,49.04
50.34,50.34,33.36,51.73,49.25
51.54,51.54,34.59,53.40,50.65
48.00,48.00,32.50,51.92,47.74
53.80,53.80,34.04,52.16,51.25
52.58,52.58,33.36,50.68,49.64
48.39,48.39,33.32,52.17,47.07
52.57,52.57,30.51,50.38,50.68
54.29,54.29,33.28,49.44,52.10
51.87,51.87,32.59,50.42,50.46
51.57,51.57,32.78,49.21,50.28
55.37,55.37,32.17,48.12,52.52
54.51,54.51,35.26,50.72,53.32
55.14,55.14,33.70,50.86,54.37
54.52,54.52,33.72,44.68,54.49
54.34,54.34,34.28,47.98,53.47
57.82,57.82,36.96,52.06,55.84
61.18,61.18,36.58,53.43,57.23
58.32,58.32,32.15,48.15,55.77
56.94,56.94,33.54,49.74,55.09
59.16,59.16,33.42,53.90,57.23
60.97,60.97,33.67,52.68,57.93
57.18,57.18,33.40,48.54,53.77
58.96,58.96,34.36,53.87,56.57
60.63,60.63,37.20,55.75,57.32
64.76,64.76,34.49,55.29,58.75
61.50,61.50,35.71,55.81,59.63
63.08,63.08,33.63,57.83,59.50
59.07,59.07,33.67,56.67,57.97
63.16,63.16,32.89,54.49,60.38
61.00,61.00,33.56,57.97,57.13
65.18,65.18,31.99,61.76,57.60
64.84,64.84,33.97,61.82,60.86
65.20,65.20,33.46,61.18,58.03
64.65,64.65,34.06,66.08,60.15
65.52,65.52,36.26,68.76,60.73
66.50,66.50,36.42,68.11,61.98
69.06,69.06,38.70,68.81,61.98
67.00,67.00,37.89,70.87,62.67
68.15,68.15,36.89,70.99,64.04
66.07,66.07,39.67,70.02,68.03
64.70,64.70,50.76,70.44,71.02
63.77,63.77,56.25,71.51,65.76
